,Song_Title,Artist,Lyricist,Composer,Lyric
0,I,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,もう いいでしょう!? これで終わりにしよう ねぇ どうでしょう!? 君だってそう思うでしょ!? 散々 好き勝手生きてきて まだ何を欲しがってるんだい? 天国(ヘブン)かい? こんな風に日々は続いてくのでしょう 処方された薬にすがりつく「I」 「誰も悪くないの」とか言い出すんでしょ!? 自分を責めるふりして許しを請え Ah イメージは ドロップアウトした世界 さぁ どうでしょう!? 誰も見ないワンマンショー 泣いて傷ついたふりして 気を引いてみようかなぁ Ah そんな風に自分を甘やかすのでしょう 支持してくれるスポンサーに媚を売る「I」 挙句には「死にたい」とか言い出すんでしょう !? 思いどおりいかないときの一発芸 どう? 散々 周りを振り回して 結局 何をしたいんだか自分にもさっぱり分からないんだ こんな風に日々は続いてくのでしょう 奪いも捨てもせず 命を燃やそうか 自分が一番可愛い? ほら当たってるでしょう!? でもそれを責めたり 誰ができるの?
1,I Can Make It,"
Mr.Children",桜井和寿,桜井和寿,"明け方 非現実的な夢をバスタブに浮かべてみる 身体は疲れてるのに目は冴える やるべきことは沢山 「追いかけてるはずが追われてる」 ここんとこは そんな日々だ 「やれる」とは言ってみたけど確信はない いやむしろ自信は揺らいでる プレッシャーの前に引っ込めるアイデア 後悔だけを生んで 日の目を見ないままのこの願い ため息に溶け 飛んでいけ 全編を通し暗いタッチで描かれた モノクロの映画を観た 悲劇の主人公と自分重ねて 仲間が増えた気がした いつか自分さえ知らない自分に 驚きを感じたい 日の目を見ないままのこの誓い I Can Make It, I Can Make It 不可能を可能にするスキルを 泣く子も黙る自信と貫禄を 醜いアヒルが白鳥に変わる逆転劇起こせれば... 「ダメ」だと思った時なんて数知れず でもまだ早いさ 諦めたくない 何もやっていやしない 締め切りを前に取り下げるアイデア 後悔ばかりが増える 日の目を見ないままのこの願い ため息に溶け 飛んでいけ そしていつか自分の存在を証明して I Can Make It, Make It, Make It いつかは非現実的な夢も 叶うと信じ I Can Make It"
2,I'm sorry,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,あれは血迷ってた僕の思い過ごしでした 八割位はあなたの言った通りでした いましがた 人づてで 御様子を知りました お詫びします 心から 大好きだったあの笑顔をもう一度 大嫌いなんて なじんないで今後とも 一区切りついたら 中華でもおごるから 雨降って地固まると そのことわざ通り 歩きましょう 肩並べて また駒沢通り いたしかたないなどと 開き直る気などない お詫びします 心から 人生だってあなたがいなくちゃ味気ない 今頃になって気付いた訳では決してない もしも望むのなら 土下座でもなんでもするから するから 笑って許して あれは血迷ってた僕の思い過ごしでした 九割近くはあなたの言った通りでした 大好きだったあの笑顔をもう一度 大嫌いなんて なじんないで今後とも 人生だってあなたがいなくちゃ味気ない 今頃になって気付いた訳では決してない もしも望むのなら 土下座でもなんでもするから するから 笑って許して I'm sorry.....
3,I'm talking about Lovin',"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,有効期限(リミット)までまだ間に合うぜ僕が手にしたone-way ticket 胸に秘めた不満も 不安も さて置いてRide! Ride! Ride! 何が起こるのか知らせないのが天使のエチケット 君にしたって本能に翻弄されるのも悪くないんじゃない!? Oh... I'm talking about Lovin' 君がいれば僕の周りの雑草も薔薇色の世界 吹雪きの日も暖房とレインコート 使わないで暖をとっていたい なんとかロスタイムまで持ち込んで1対1のPK 力まないで何度もファインゴール 振りぬいてど真ん中を狙え! Oh... I'm talking about Lovin' 君は運命の人って思ったりして 思い違いかなって迷ったりして 大きなシーソーの上で右往左往する Friendじゃ辛いけどThe ENDになるくらいなら 慌てなくていいや。。。 また明日 また明日 Oh... I'm talking about Lovin' 君は運命の人って思ったりして 間違いないよって念を押したりして 大きなスクランブルで立ち往生する もし縁遠くなったって未練たらしくしちゃいそうで なんだか怖いから。。。 また明日 また明日 有効期限までそう時間もないぜ僕の大事なone-way ticket 伝えたいのはONE WORD ONE WORD... Oh... I like you. I love you.
4,I'LL BE,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,気が付きゃ勇み足 そんな日には深呼吸をしてみるんだ Tシャツの中を泳ぐ風と 共に歌いながら 乾きを癒せない砂漠の様に 何だって飲み込んでしまえる そんな漠然としたイメージだけが 今日も僕を支えてんだ 街がジオラマみたくみえるビルの最上階 形を変えながら飛ぶ雲が見えるかい? 今日はゾウ 明日はライオンてな具合に 心はいつだって捕らえようがなくて そんでもって自由だ 生きてる証を 時代に打ち付けろ 貧弱な魂で 悪あがきしながら 何度へましたっていいさ 起死回生で毎日がレボリューション 人生はフリースタイル 孤独でも忍耐 笑いたがる人にはキスを そしていつだって I say yes. I'll be there ピーナッツをひとつ 噛み砕きながら 飲み込んでしまった想いは 真夜中 血液に溶けて 身体中をノックした いつも心にしてたアイマスクを外してやればいい 不安や迷いと無二の親友になればいい 旅立とう 明日は無いぞってな具合に 胸に刻みながら一歩ずつ進んで いつだって夢中だ 腑甲斐無い自分に 銃口を突き付けろ 当たり障り無い 道を選ぶくらいなら 全部放り出して コンプレックスさえもいわばモチベーション 人生はいつもQ&Aだ 永遠に続いてく禅問答 そしていつの日か僕も dead I'll be back 駆け引きの世界で 僕が得たものを ダスタシュートに投げ込むよ 白地図を広げて 明日を待っていたい 目一杯の助走をつけて あのボーダーラインを飛ぶんだ 風向きを味方につけて 猫背を気にしながら 生きてる証を 時代に打ち付けろ 貧弱な魂で 悪あがきしながら 何度へましたっていいさ 起死回生で毎日がレボリューション 人生はフリースタイル 孤独でも忍耐 笑いたがる人にはキスを そしていつだって I say yes. I'll be there
5,I wanna be there,"
Mr.Children",桜井和寿,桜井和寿,不眠症になりそうな寝苦しい夜が ここ数日間続いて あるとき思い立った 似たような瞬間は これまでもあった でも今回はリアルだ 昨日の自分にさよならさ いちばんタフな靴を選んで また 装飾のない服を着て 音楽は俺の頭の中で鳴らしてく I wanna be there 「アホらしい」って もう一人の俺が言うぜ でも聞こえないんだ今は I wanna be there 「アンタらしいね」って 微笑んで さみしそうに見送ってくれないか 負けそうになった時の旅の道連れを 部屋中探して回った でも結局見つからなかった 必要なものを 足りないものを そうだ そのままに感じること 「生きていること」にもっと感謝して生きていたい I wanna be there 新しい出会いが待っている もしかしたら素敵な運命の人が(笑) I wanna be there 「アンタらしいね」って 手を振って 泣きながら見送ってくれないか I wanna be there 「アホらしい」って もう一人の俺が言うぜ でも聞こえないんだ今は I wanna be there 新しい出会いが待っている そうさきっとこの旅路の上で I wanna be there I wanna be there さみしそうに見送ってくれないか
6,蒼,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,自分では精一杯してるつもり でも動かないものばかりで 揺らめく陽炎に憧れ 目で追う 触れないと知っていても その人なりが果たすべき使命に ただひたむきであれと諭すのに 静かに 静かに 夢はささくれ 届かぬ 祈りに 胸が暴れる ただただ自分の身の丈を知らされ わずかばかりの譲れぬ誇りに ただ正直であれと願うのに 静かに 密かに 嘘を重ね 淀んだ 時流れに 自由を奪われ ただただ自分の身の丈を知らされ それでも心は手を伸ばし続ける
7,秋がくれた切符,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,風の匂いもいつしか 秋のものになってた カーディガン着た君の 背中見てそう思う 公園の緑は その葉落としはじめて カバンの中に一枚そっと着地した 神様が僕らにくれた 何かの切符みたいだ でも どこへ行けというんだろう この葉眺めて思う 茜色の夕日は 綺麗で切なくて このまま時間が止まればいいのにな 神様が僕らにくれた 何かの切符みたいだ でも なんの褒美なんだろう 今日も喧嘩したのに 神様が僕らにくれた 何かの切符みたいだ 君はまだ気付いてないんだな その贈り物に 風の匂いもいつしか 秋のものになってた 寒そうにしてる君に 駆け寄り手を繋ぐ
8,others,"
Mr.Children",桜井和寿,桜井和寿,君の指に触れ くちびるに触れ 時間(とき)が止まった 硬い氷は溶け 身体中を滑る 2人の熱で 何が起こったの？ しばらく何も考えたくない 窓の外の月を見てる まるで近未来の映画のよう アンドロイドが 感情なんかなく ただ互いのエネルギーを 吸い合うように 意味はあるだろう… たけど深く考えられない 気まずさでビール口に運んだ テーブルの上の灰皿 アメリカ史紐解く文庫本 それはきっと彼のもの 「そろそろ行くね」って僕の 言葉を待っていたかのよう 無駄のない動きで君は そう僕に手を振る 「すぐ捕まるさ」 そう言いながらスニーカーを履き タクシーに向けて僕は走った ベッドで聞いていた blues 誰の曲かも君は知りはしない きっと彼の好きな曲 愛し愛されてたとしても そう感じられるのは一瞬で その一瞬を君は僕に分けてくれた 君の胸に触れ くちびるに触れ 時間が止まった 硬い氷は溶け 身体中を滑る 2人の熱で 何が起こったの？ このまま何も考えたくない 25時の首都高に輝く 窓の外の月を見てる
9,足音 ～Be Strong,"
Mr.Children",桜井和寿,桜井和寿,新しい靴を履いた日は それだけで世界が違って見えた 昨日までと違った自分の足音が どこか嬉しくて あてもなく隣の町まで 何も考えずしばらく歩いて 「こんなことも最近はしてなかったな...」って ぼんやり思った 舗装された道を選んで歩いていくだけ そんな日々 だけど もうやめたいんだ 今日はそんな気がしてる 夢見てた未来は それほど離れちゃいない また一歩 次の一歩 足音を踏み鳴らせ！ 時には灯りのない 寂しい夜が来たって この足音を聞いてる 誰かがきっといる 疲れて歩けないんなら 立ち止まってしがみついていれば 地球は回っていって きっといい方向へ 僕らを運んでくれる どんな人にだって心折れそうな日はある 「もうダメだ」って思えてきても大丈夫 もっと強くなっていける 今という時代は 言うほど悪くはない また一歩 次の一歩 靴紐を結び直して 喜びを分かち合い 弱さを補い合い 大切な誰かと歩いていけるなら もう怖がんないで 怯(ひる)まないで 失敗なんかしたっていい 拒まないで 歪めないで 巻き起こってる すべてのことを真っ直ぐに受け止めたい 夢見てた未来は それほど離れちゃいない また一歩 次の一歩 足音を踏み鳴らせ！ 例えば雨雲が 目の前を覆ったって また日差しを探して歩き出そう 時には灯りのない 孤独な夜が来たって この足音を聞いてる 誰かがきっといる
